timestamp_ms,cpu_percent,memory_kb
17654187683N,0.0,177813
17654187703N,57.1,177040
17654187713N,25.0,176581
17654187723N,50.0,176614
17654187733N,0.0,176693
17654187743N,0.0,186843
17654187753N,6.8,186049
17654187763N,18.5,185989
17654187773N,3.5,185649
17654187793N,89.2,185885
