timestamp_ms,cpu_percent,memory_kb
17654159783N,67.8,192370
17654159793N,17.8,191371
17654159803N,0.0,191286
17654159813N,14.2,191343
17654159823N,3.5,191298
17654159833N,14.8,190920
17654159853N,7.1,190933
17654159863N,75.8,191153
17654159873N,110,199030
17654159883N,10.7,194247
