timestamp_ms,cpu_percent,memory_kb
17654153633N,64.2,195587
17654153653N,18.5,194637
17654153663N,32.1,194347
17654153673N,3.5,194530
17654153683N,3.5,194270
17654153693N,11.1,193526
17654153713N,100,193550
17654153723N,131,198402
