timestamp_ms,cpu_percent,memory_kb
17654189173N,42.8,184559
17654189183N,71.4,184779
17654189193N,70.3,184839
17654189203N,22.2,184851
17654189213N,25.9,185283
17654189233N,53.5,185116
17654189243N,28.5,184992
17654189253N,71.4,185046
