timestamp_ms,cpu_percent,memory_kb
17654218933N,18.5,187832
17654218943N,85.7,187852
17654218963N,10.7,188597
17654218973N,7.1,188921
17654218983N,21.4,188934
17654218993N,32.1,189503
17654219003N,7.1,189642
17654219013N,3.5,188903
17654219033N,7.1,188971
17654219043N,0.0,189653
17654219053N,0.0,189488
17654219063N,65.5,192785
17654219073N,50.0,202138
17654219093N,81.4,203187
17654219103N,7.4,200859
17654219113N,42.8,216297
17654219123N,82.1,203952
