timestamp_ms,cpu_percent,memory_kb
17654216423N,0.0,198929
17654216433N,35.7,198934
17654216443N,35.7,199736
17654216463N,29.6,200470
17654216473N,10.7,201056
17654216483N,31.0,201039
17654216493N,17.8,200887
17654216503N,10.0,200535
17654216513N,14.2,200459
17654216533N,51.7,200203
17654216543N,17.2,200771
17654216553N,82.1,200620
17654216563N,96.4,204321
17654216583N,35.7,214000
17654216593N,3.4,233288
17654216603N,55.1,215985
17654216613N,3.7,217070
