timestamp_ms,cpu_percent,memory_kb
17654189643N,25.9,184874
17654189653N,53.5,185217
17654189663N,53.5,184892
17654189673N,3.7,185006
17654189693N,0.0,185085
17654189703N,22.2,185181
17654189713N,0.0,184958
17654189723N,35.7,185702
