timestamp_ms,cpu_percent,memory_kb
17654157943N,72.4,191314
17654157953N,0.0,191592
17654157963N,32.1,190918
17654157983N,3.5,191038
17654157993N,14.2,190946
17654158003N,11.1,190866
17654158013N,14.8,190878
17654158033N,239,191386
17654158043N,60.7,198396
