timestamp_ms,cpu_percent,memory_kb
17654161763N,55.5,188869
17654161773N,10.3,188524
17654161783N,50.0,188423
17654161793N,3.5,188041
17654161813N,0.0,188061
17654161823N,3.4,188275
17654161833N,35.7,187956
17654161843N,191,188009
17654161853N,14.2,192294
