timestamp_ms,cpu_percent,memory_kb
17654153233N,78.5,196110
17654153253N,14.2,193552
17654153263N,77.7,192640
17654153273N,11.1,192710
17654153283N,10.7,192654
17654153303N,14.8,191870
17654153313N,13.7,191922
17654153323N,71.4,192460
