timestamp_ms,cpu_percent,memory_kb
17654160083N,77.7,192185
17654160093N,10.7,192228
17654160103N,20.0,192153
17654160113N,11.1,191810
17654160133N,18.5,191815
17654160143N,14.2,191818
17654160153N,25.0,191771
17654160163N,260,192056
17654160173N,89.6,197836
