timestamp_ms,cpu_percent,memory_kb
17654189833N,51.8,184605
17654189843N,57.1,185162
17654189853N,7.4,185219
17654189863N,77.7,185263
17654189873N,17.8,187355
17654189883N,10.3,185477
17654189893N,0.0,185358
17654189903N,0.0,186282
